Año,Trimestre,Provincia,Accesos por cada 100 hogares,Accesos por cada 100 hab
2021,2,San Luis,83.47810720063075,23.89055527674358
2021,2,Santa Cruz,44.01491665543425,13.096756425784957
2021,2,Santa Fe,75.06878626293008,23.60478745301367
2021,2,Santiago Del Estero,46.557275364921054,11.554388875216853
2021,2,Tierra Del Fuego,67.88580775229184,20.126647945777083
2021,2,Tucumán,54.928196510348045,13.606163819728007
2021,1,Buenos Aires,69.10524076185938,22.998353975762015
2021,1,Capital Federal,108.4199392232935,44.82699016464177
2021,1,Catamarca,48.899092927848244,12.438278918256517
2021,1,Chaco,43.13649241708794,11.528896477487843
2021,1,Chubut,68.9942808881567,21.147838315076264
2021,1,Córdoba,78.59028062380018,24.061371645661506
2021,1,Corrientes,42.664128438821415,11.234115869536096
2021,1,Entre Ríos,60.439449728342346,18.070581721504354
2021,1,Formosa,32.732955756327215,8.330895284429907
2021,1,Jujuy,55.63244789620541,14.226045966500736
2021,1,La Pampa,81.77676345752207,26.943299898725044
2021,1,La Rioja,49.80693519079345,13.258360163449572
2021,1,Mendoza,39.153661528996416,10.926002451479471
2021,1,Misiones,43.172438905971845,11.758811611223322
2021,1,Neuquén,66.84208942045272,19.895917331182986
2021,1,Río Negro,60.87924030325769,18.724905657874665
2021,1,Salta,53.93001926339093,13.061128426236175
2021,1,San Juan,39.055194335357605,9.948368694803314
2021,1,San Luis,81.23730177127507,23.24883515831701
2021,1,Santa Cruz,41.64783103990742,12.391825403443834
2021,1,Santa Fe,73.91656407026184,23.242382186130484
2021,1,Santiago Del Estero,45.67308282365455,11.334871169032645
2021,1,Tierra Del Fuego,77.34935609177366,22.9312154304354
2021,1,Tucumán,54.81892254125389,13.57896382467824
2020,4,Buenos Aires,68.97702220170737,22.90151153254686
2020,4,Capital Federal,108.31107489043508,44.833968426782796
2020,4,Catamarca,49.40688354549741,12.567459308545084
2020,4,Chaco,43.030788649779105,11.50064617804086
2020,4,Chubut,68.35189915825622,20.950871174621614
2020,4,Córdoba,78.07960876338194,23.904978675681004
2020,4,Corrientes,42.42828394694903,11.172002734788627
2020,4,Entre Ríos,59.47430676097378,17.78197083072765
2020,4,Formosa,32.487381907596735,8.268390853815193
2020,4,Jujuy,53.45659123390888,13.669623117135359
2020,4,La Pampa,81.76793248945148,26.940422171804798
2020,4,La Rioja,50.11061211701148,13.339129511730942
2020,4,Mendoza,38.62957896227819,10.779753857792285
2020,4,Misiones,42.64411416119227,11.614898792582805
2020,4,Neuquén,67.00234522048092,19.943555550895127
2020,4,Río Negro,61.088615480454756,18.789319055171752
2020,4,Salta,54.04275200147659,13.088389057411085
2020,4,San Juan,36.32088215575813,9.251858120163535
2020,4,San Luis,81.67947806105701,23.375314368474104
2020,4,Santa Cruz,36.99957245908797,11.008682660661702
2020,4,Santa Fe,73.58073807267776,23.136769743176906
2020,4,Santiago Del Estero,43.749256620689934,10.857437164805166
2020,4,Tierra Del Fuego,76.26583496977399,22.609569143137627
2020,4,Tucumán,54.78340441369959,13.57016980842894
2020,3,Buenos Aires,67.65618983090923,22.410088053440287
2020,3,Capital Federal,107.6759011657323,44.62274289719256
2020,3,Catamarca,47.15709898417198,11.995288801288368
2020,3,Chaco,41.54192057806515,11.102767361905425
2020,3,Chubut,68.34389815720037,20.94871530485329
2020,3,Córdoba,75.22035723669207,23.029708353509868
2020,3,Corrientes,41.750749470464434,10.993613616681577
2020,3,Entre Ríos,58.1901640924315,17.398110879051448
2020,3,Formosa,31.905623310186538,8.120337229392224
2020,3,Jujuy,54.04441923820905,13.820037033679931
2020,3,La Pampa,79.26447706670275,26.115702018823033
2020,3,La Rioja,50.118113236302676,13.341312020771634
2020,3,Mendoza,37.348633137232696,10.422355488053226
2020,3,Misiones,41.60448628544863,11.331798537010407
2020,3,Neuquén,65.24417025530218,19.42045929269766
2020,3,Río Negro,57.052405915845014,17.54802558517
2020,3,Salta,52.31571212848803,12.670239307125406
2020,3,San Juan,38.78995525412846,9.88083251128296
2020,3,San Luis,79.96172209417188,22.8839263803681
2020,3,Santa Cruz,35.95152890784452,10.697207032526524
2020,3,Santa Fe,72.12060247348236,22.677710522681583
2020,3,Santiago Del Estero,43.37593131691913,10.76484130094044
2020,3,Tierra Del Fuego,76.80909583946696,22.771515363810202
2020,3,Tucumán,53.2281495112899,13.184990703555616
2020,2,Buenos Aires,65.2205801358229,21.552858404836318
2020,2,Capital Federal,106.41480599073645,44.15182686820503
2020,2,Catamarca,45.43181818181818,11.556666835285702
2020,2,Chaco,39.83250279006581,10.646198278920558
2020,2,Chubut,57.344613387235526,17.577923412048097
2020,2,Córdoba,72.71358531242393,22.262629768284135
2020,2,Corrientes,40.30476267979574,10.613139950481656
2020,2,Entre Ríos,56.538654739709614,16.90464963972206
2020,2,Formosa,31.1394362262631,7.925539742616724
2020,2,Jujuy,47.887810227872784,12.246000275261045
2020,2,La Pampa,76.10158288987562,25.07384596485546
2020,2,La Rioja,49.83993501839552,13.267548880443243
2020,2,Mendoza,36.25224342110005,10.116652469373573
2020,2,Misiones,40.88779600969606,11.136919674351834
2020,2,Neuquén,63.898469033764314,19.02059866374008
2020,2,Río Negro,56.369335248791955,17.338453751536527
2020,2,Salta,51.58158335340357,12.492822821915325
2020,2,San Juan,35.09485776365026,8.939786450606132
2020,2,San Luis,78.4096773527651,22.440286647722235
2020,2,Santa Cruz,35.79262396979603,10.650675172081195
2020,2,Santa Fe,70.002168637187,22.01189934872471
2020,2,Santiago Del Estero,43.46716682468362,10.787648634906734
2020,2,Tierra Del Fuego,76.36948260742473,22.642392447335883
2020,2,Tucumán,51.78074091030483,12.826796661758182
2020,1,Buenos Aires,64.32563101743429,21.208081014212762
2020,1,Capital Federal,105.98017414181909,44.02408243452466
2020,1,Catamarca,37.615427687460254,9.568286447482455
2020,1,Chaco,37.483833369172615,10.018358007806318
2020,1,Chubut,51.26848941909703,15.715139739949185
2020,1,Córdoba,70.6880744339108,21.64232669040361
2020,1,Corrientes,38.729079942230904,10.198192297264285
2020,1,Entre Ríos,56.12006051437216,16.779387594256768
2020,1,Formosa,30.228303962606848,7.693633209507935
2020,1,Jujuy,46.670230639987786,11.934505713694248
2020,1,La Pampa,75.76678781291396,24.96348894596364
2020,1,La Rioja,46.346631384166976,12.337423688670192
2020,1,Mendoza,33.14207670017271,9.248656325291032
2020,1,Misiones,39.01834755171205,10.627621055982175
2020,1,Neuquén,61.84749362355069,18.409872883598883
2020,1,Río Negro,55.11566865962362,16.95263605430754
2020,1,Salta,49.59568027012866,12.011697200976553
2020,1,San Juan,32.392292136304725,8.251277881190129
2020,1,San Luis,76.30854184641933,21.838769386372302
2020,1,Santa Cruz,35.97427628896549,10.704172537298618
2020,1,Santa Fe,69.52357940253133,21.86132458787361
2020,1,Santiago Del Estero,42.466359187991806,10.539212166838636
2020,1,Tierra Del Fuego,76.06964979018785,22.552553250860385
2020,1,Tucumán,47.84792325850032,11.852464901793745
2019,4,Buenos Aires,64.25205288245421,21.135089381908887
2019,4,Capital Federal,106.24546751041055,44.18705360861236
2019,4,Catamarca,36.43842912715547,9.268865071492511
2019,4,Chaco,36.835478630342415,9.84506318966921
2019,4,Chubut,51.145017855147124,15.677171185926401
2019,4,Córdoba,70.48295566244217,21.57949716642836
2019,4,Corrientes,38.767440989262106,10.208283637368018
2019,4,Entre Ríos,57.99221691704514,17.339132629892976
2019,4,Formosa,30.471313480544048,7.755476118924716
2019,4,Jujuy,45.37754633175065,11.60391510228381
2019,4,La Pampa,76.92418969170417,25.344921847620384
2019,4,La Rioja,47.13589011052434,12.547563567459605
2019,4,Mendoza,33.64903072027183,9.390112733918839
2019,4,Misiones,39.78923684048622,10.837581902491847
2019,4,Neuquén,59.35590092822445,17.668184976921886
2019,4,Río Negro,55.70500968287489,17.13387032217983
2019,4,Salta,50.35463892238824,12.195492805546795
2019,4,San Juan,32.85497572815534,8.36915261267133
2019,4,San Luis,74.92002603481464,21.441352893267833
2019,4,Santa Cruz,36.71136308535834,10.923427797723754
2019,4,Santa Fe,69.48235725596862,21.84835065573258
2019,4,Santiago Del Estero,42.92077382358182,10.651974288337923
2019,4,Tierra Del Fuego,79.69536136377089,23.627546752616215
2019,4,Tucumán,47.64902012521289,11.803181280712074
2019,3,Buenos Aires,69.35630106079125,22.761733615562225
2019,3,Capital Federal,112.6453878037209,46.904770893488056
2019,3,Catamarca,30.883614526737205,7.855954765218487
2019,3,Chaco,35.8460309754608,9.580664387529255
2019,3,Chubut,47.56624162293312,14.580466548718958
2019,3,Córdoba,68.59234901069021,21.000781776953538
2019,3,Corrientes,38.48535113586719,10.134028114178687
2019,3,Entre Ríos,57.90009945796624,17.311661825597923
2019,3,Formosa,30.11243299777749,7.664177713890219
2019,3,Jujuy,44.322486842913605,11.334206981241007
2019,3,La Pampa,77.45269423291748,25.519002705641388
2019,3,La Rioja,47.94290512174643,12.762431790856121
2019,3,Mendoza,40.73714258735342,11.368189016279217
2019,3,Misiones,39.33292986744382,10.713348334458951
2019,3,Neuquén,64.13887269491578,19.092075679641724
2019,3,Río Negro,63.42470088700958,19.508498591229387
2019,3,Salta,44.47617792228716,10.771854623416075
2019,3,San Juan,37.06231303554226,9.440941485226007
2019,3,San Luis,85.22608876849344,24.390971166174673
2019,3,Santa Cruz,35.62816097885956,10.601555192584216
2019,3,Santa Fe,68.87178057593026,21.656424746361633
2019,3,Santiago Del Estero,55.30391146854541,13.725288048364083
2019,3,Tierra Del Fuego,96.46210963092378,28.598925193212118
2019,3,Tucumán,39.487600204016815,9.781574184382116
2019,2,Buenos Aires,67.84713982374198,22.215789484298067
2019,2,Capital Federal,110.54556699485231,46.08592579281094
2019,2,Catamarca,32.13095022019278,8.173397032450584
2019,2,Chaco,34.14026097986763,9.125011329267105
2019,2,Chubut,46.98798413626923,14.403808727896068
2019,2,Córdoba,68.07130938789848,20.841637242238242
2019,2,Corrientes,38.15558588418795,10.047459019420458
2019,2,Entre Ríos,57.47823458872391,17.185820444672466
2019,2,Formosa,30.418236006943307,7.742195783956093
2019,2,Jujuy,44.511922790626045,11.382934590825071
2019,2,La Pampa,77.08313750288404,25.39783989548608
2019,2,La Rioja,48.704939144243156,12.965645588675004
2019,2,Mendoza,40.754624235362655,11.373356541672889
2019,2,Misiones,39.14612554169944,10.662825595018377
2019,2,Neuquén,63.080964327674394,18.777900805620252
2019,2,Río Negro,61.0942074999118,18.792276756346176
2019,2,Salta,41.89319832036978,10.146610869132008
2019,2,San Juan,35.59971733748176,9.068540162527924
2019,2,San Luis,81.789994425864,23.40822663016059
2019,2,Santa Cruz,28.846063055322123,8.584064828655885
2019,2,Santa Fe,67.42291993321949,21.201130485144205
2019,2,Santiago Del Estero,52.78997126317105,13.101581339388986
2019,2,Tierra Del Fuego,94.79803428023493,28.10756382159569
2019,2,Tucumán,40.13604621420884,9.942460440805863
2019,1,Buenos Aires,66.24255522736811,21.64173785141924
2019,1,Capital Federal,109.19616455883845,45.57918389943661
2019,1,Catamarca,32.190488956121285,8.188504627374574
2019,1,Chaco,32.635876579429485,8.722835003407456
2019,1,Chubut,42.99773633717796,13.180368061670734
2019,1,Córdoba,65.5173840768055,20.05952769269671
2019,1,Corrientes,35.13498688698812,9.25199213887151
2019,1,Entre Ríos,56.78815996169284,16.979402393290254
2019,1,Formosa,29.677694630431926,7.55368578631946
2019,1,Jujuy,46.40843874036665,11.867849761055307
2019,1,La Pampa,76.35457433780647,25.157516640472675
2019,1,La Rioja,50.184587883262736,13.359402478637785
2019,1,Mendoza,37.657164970282864,10.508862067173826
2019,1,Misiones,36.25716826552349,9.87579609120626
2019,1,Neuquén,58.87800433437489,17.526490396034294
2019,1,Río Negro,53.57164978100252,16.478122478195964
2019,1,Salta,40.09834441771615,9.711781014403453
2019,1,San Juan,31.833058053465464,8.108982017265918
2019,1,San Luis,67.3379373977716,19.271779401291518
2019,1,Santa Cruz,23.66765499676892,7.042691634453057
2019,1,Santa Fe,66.97409094791476,21.059894917387947
2019,1,Santiago Del Estero,37.519416746003905,9.311616280949599
2019,1,Tierra Del Fuego,93.37581922721242,27.684925791261847
2019,1,Tucumán,41.63074443134759,10.31263096739148
2018,4,Buenos Aires,64.60284663484316,21.058833823398523
2018,4,Capital Federal,108.27314997057414,45.24931394036689
2018,4,Catamarca,32.225346166025346,8.197333541624968
2018,4,Chaco,32.59096087632982,8.7108351925502
2018,4,Chubut,42.61093609604538,13.061729706052178
2018,4,Córdoba,65.08926459112368,19.92843117514227
2018,4,Corrientes,34.56627656869549,9.102210657080787
2018,4,Entre Ríos,54.37477348639939,16.257794035384702
2018,4,Formosa,29.73653915732,7.568639138457005
2018,4,Jujuy,46.53226639132679,11.899484192418539
2018,4,La Pampa,73.49404828314209,24.215175627605007
2018,4,La Rioja,50.347993917417234,13.402859048246764
2018,4,Mendoza,37.757783845911696,10.536933969997644
2018,4,Misiones,34.4507488777944,9.38376401334208
2018,4,Neuquén,59.06916926636779,17.58336203291432
2018,4,Río Negro,51.86140345426057,15.952033444971306
2018,4,Salta,39.801610069738146,9.639884990122159
2018,4,San Juan,31.89625207025579,8.125067548299477
2018,4,San Luis,67.55045369760039,19.332549309229275
2018,4,Santa Cruz,23.68919410065612,7.049080016507051
2018,4,Santa Fe,65.58706886191564,20.62373640643868
2018,4,Santiago Del Estero,37.40072595129344,9.2821177795649
2018,4,Tierra Del Fuego,93.59257086207943,27.748785315817887
2018,4,Tucumán,41.75796963877769,10.344120436439566
2018,3,Buenos Aires,64.44056759752046,20.95908740104848
2018,3,Capital Federal,108.44591411021922,45.37709204560748
2018,3,Catamarca,32.91594537411041,8.373046550087581
2018,3,Chaco,32.283100833077576,8.628583509513742
2018,3,Chubut,56.391745852269025,17.28630822939319
2018,3,Córdoba,64.24210026029336,19.66915749676994
2018,3,Corrientes,34.24993887383215,9.018948170247882
2018,3,Entre Ríos,50.222013858377494,15.016208210741233
2018,3,Formosa,29.576573428878444,7.5279498103121085
2018,3,Jujuy,23.263700137195517,5.949165647225797
2018,3,La Pampa,71.75023651844843,23.64056278957734
2018,3,La Rioja,50.73304318059562,13.505484520192356
2018,3,Mendoza,37.990597267996215,10.601969231966759
2018,3,Misiones,32.10366641805902,8.74450949017475
2018,3,Neuquén,60.48661674396911,18.005451709791327
2018,3,Río Negro,50.54264808703746,15.546572458298687
2018,3,Salta,39.42741342068409,9.549341341721156
2018,3,San Juan,33.05141650392377,8.419357955569252
